source,sink,source_kv,sink_kv,stability_limit,thermal_limit,line_capacity,max_kv,reactance_per_km,reactance_pu,susceptance
Ratchaburi3,SamutSakhon4,115,115,4616,422,422,115,0.3648,5.472,2416
Ratchaburi,Ratchaburi3,230,230,27695,844,844,230,0.3648,3.648,14501
RatchaburiThermal,BanPong1,230,230,27695,844,844,230,0.3648,3.648,14501
Ratchadaphisek,LatPhrao,230,230,12589,844,844,230,0.3648,8.0256,6591
Rayong1,Klaeng,115,115,706,211,211,115,0.3648,17.8752,739
Rayong2,BanKhai,230,230,11544,1689,1689,230,0.3648,17.5104,3021
Rayong2,Rayong1,230,230,9233,844,844,230,0.3648,10.944,4833
Rayong2,Rayong3,115,115,3462,422,422,115,0.3648,7.296,1812
Rayong3,Klaeng,115,115,1154,422,422,115,0.3648,21.888,604
Rayong3,Rayong1,230,230,9233,844,844,230,0.3648,10.944,4833
Rayong3,Sattahip1,115,115,1978,422,422,115,0.3648,12.768,1035
Rayong,Rayong2,230,230,9233,844,844,230,0.3648,10.944,4833
RoiEt2,KhonKaen3,230,230,1917,844,844,230,0.3648,52.896,1000
RoiEt2,MahaSarakham,115,115,989,211,211,115,0.3648,12.768,1035
RoiEt2,RoiEt,230,230,18464,844,844,230,0.3648,5.472,9667
RoiEt2,Somdet,115,115,1384,211,211,115,0.3648,9.120000000000001,1450
RoiEt2,Surin,230,230,1841,844,844,230,0.3648,55.0848,960
RoiEt2,Yasothon,230,230,4861,844,844,230,0.3648,20.7936,2544
RoiEt,Kalasin,115,115,1358,422,422,115,0.3648,18.6048,710
Sadao,ChiupingMalaysia,132,132,1200,242,242,132,0.3648,13.862400000000001,1256
SaiNoi,BangkokNoi,500,500,32097,6962,6962,500,0.2326,14.8864,16793
SaiNoi,ChomBueng,500,500,8300,3481,3481,500,0.2326,28.8424,8667
SaiNoi,Rangsit,500,500,32097,6962,6962,500,0.2326,14.8864,16793
SakonNakhon,Kalasin,115,115,368,211,211,115,0.3648,34.2912,385
SakonNakhon,SakonNakhon2,115,115,2885,422,422,115,0.3648,8.7552,1510
SakonNakhon,Thakhek,115,115,679,211,211,115,0.3648,18.6048,710
SakonNakhon,ThatPhanom,115,115,455,211,211,115,0.3648,27.724800000000002,477
Salokbat,NakhonSawan,115,115,1018,211,211,115,0.3648,12.4032,1066
SamPhran1,BangkokNoi,230,230,16292,844,844,230,0.3648,6.2016,8530
SamPhran2,SamPhran1,115,115,4616,422,422,115,0.3648,5.472,2416
SamutSakhon1,SamPhran1,115,115,2308,211,211,115,0.3648,5.472,2416
SamutSakhon1,SamutSakhon3,115,115,2308,211,211,115,0.3648,5.472,2416
SamutSakhon3,SamPhran1,230,230,8146,422,422,230,0.3648,6.2016,8530
SamutSongkhram,SamutSakhon4,115,115,2036,211,211,115,0.3648,6.2016,2132
Saraburi2,PakChong,115,115,1236,211,211,115,0.3648,10.214400000000001,1294
Saraburi2,Saraburi3,115,115,1731,211,211,115,0.3648,7.296,1812
Saraburi2,SiKhiu,115,115,618,211,211,115,0.3648,20.428800000000003,647
Saraburi4,NakhonNayok,115,115,887,211,211,115,0.3648,14.2272,929
Sattahip1,Sattahip2,115,115,5326,422,422,115,0.3648,4.7424,2788
SimahaPhot,PrachinBuri1,115,115,587,211,211,115,0.3648,21.5232,614
SimahaPhot,WatthanaNakhon,115,115,488,211,211,115,0.3648,25.9008,510
SingBuri,Thalan3,230,230,1670,422,422,230,0.3648,30.2784,1747
SiRacha,BanBueng,115,115,1049,211,211,115,0.3648,12.038400000000001,1098
SirikitDam,Phitsanulok2,230,230,2500,844,844,230,0.3648,40.4928,1306
